Model,Accuracy,Precision,Recall,Specificity,F1,IoU,Dice,MCC,Avg_Accuracy,Avg_Precision,Avg_Recall,Avg_Specificity,Avg_F1,Avg_IoU,Avg_Dice,Avg_MCC
v1 (Current),0.975383341491152,0.15074876555622585,0.18622989394075312,0.9859509483633668,0.1666213917708761,0.09088215114052035,0.1666213917708761,0.15515740167867015,0.9753833414911519,0.11329674268579486,0.1327208936646693,0.985787712073451,0.11954632650609341,0.06529919390889047,0.11954632650609341,0.10884345227548807
v2 (Module 3),0.9734193101767997,0.12426437417979003,0.16726930216189734,0.9842145191329011,0.14259495104282172,0.0767710581614281,0.14259495104282172,0.13087000487167005,0.9734193101767997,0.10435010286750379,0.1334520594914896,0.9841124357407764,0.1086493310767113,0.05891638995052899,0.1086493310767113,0.10063993749317961
