Model,Accuracy,Precision,Recall,Specificity,F1,IoU,Dice,MCC,Avg_Accuracy,Avg_Precision,Avg_Recall,Avg_Specificity,Avg_F1,Avg_IoU,Avg_Dice,Avg_MCC
CMSegNet,0.97345352822068,0.12405489231461571,0.16680877691212773,0.9842440878592997,0.14228965007544575,0.07659409879544701,0.14228965007544575,0.1305659342091032,0.9734529596649579,0.10405492315730003,0.1330164195420436,0.9841418787999038,0.10832929503358836,0.058737483859371636,0.10832929503358836,0.10031295580831648
CMSegNet + EH,0.9781765529879787,0.14933334317691876,0.13909040274501983,0.9894010841480073,0.14402999156220295,0.07760362015948498,0.14402999156220295,0.13307761668508905,0.9781764160932723,0.11285826262774046,0.10605596426690056,0.9892977314105004,0.10710747912366748,0.05799456171772424,0.10710747912366748,0.09722985538444391
CMSegNet + ShadowNet,0.9632275090311708,0.13106553703057816,0.3171866297180028,0.9718696561794742,0.18548593424301965,0.10222347555384668,0.18548593424301965,0.18760046572318115,0.9632264679104338,0.10425397758419809,0.22224637051281654,0.9715410232841409,0.1357512471071261,0.07482340549046937,0.1357512471071261,0.1323374594821049
