sample_id,TP,TN,FP,FN,Accuracy,IoU,F1
1081511_DF_080_080BDF0070_00336,9,194243,387,1200,0.9918964046997789,0.005639097744360902,0.011214953271028037
1081512_DF_080_080BDF0070_00338,12,194633,447,747,0.9939031551427449,0.009950248756218905,0.019704433497536946
1081513_DF_080_080BDF0070_00340,57,194039,376,1367,0.9910998320048612,0.03166666666666667,0.061389337641357025
1081514_DF_080_080BDF0070_00342,326,188755,1974,4784,0.9654920623573445,0.04601919819311124,0.08798920377867746
1081515_DF_080_080BDF0070_00344,173,192639,1400,1627,0.984543425977461,0.0540625,0.10257930625555885
1081516_DF_080_080BDF0070_00346,100,192166,846,2727,0.9817554215452489,0.027225701061802342,0.053008216273522396
1081519_DF_080_080BDF0070_00351,291,190497,1476,3575,0.9742084058844255,0.054473979782852865,0.10331972306053612
1081522_DF_080_080BDF0070_00358,149,193725,497,1468,0.9899662477851705,0.07048249763481551,0.1316836058329651
1081523_DF_080_080BDF0070_00360,97,191014,1470,3258,0.9758577198617232,0.02010362694300518,0.03941487200325071
1081524_DF_080_080BDF0070_00362,1,193982,698,1158,0.9905228274245681,0.0005385029617662897,0.001076426264800861
1081525_DF_080_080BDF0070_00364,571,189774,1953,3541,0.971946343680268,0.09414674361088211,0.17209162145871007
1081538_DF_080_080BDF0070_00388,0,195405,49,385,0.997783893912857,0.0,0.0
1081539_DF_080_080BDF0070_00390,213,191582,882,3162,0.9793503847548242,0.05003523608174771,0.0953020134228188
1081540_DF_080_080BDF0070_00392,883,187686,2649,4621,0.9628776699227427,0.10830369189255488,0.19544046038069943
1081541_DF_080_080BDF0070_00394,519,190117,1729,3474,0.973432258130403,0.0907025515554002,0.16631950008011537
1081558_DF_080_080BDF0070_00423,104,194143,699,893,0.9918708735236598,0.06132075471698113,0.11555555555555555
1081559_DF_080_080BDF0070_00425,338,191607,2028,1866,0.9801163200383989,0.07986767485822306,0.14792122538293218
1081565_DF_080_080BDF0070_00435,33,193667,596,1543,0.9890777628562237,0.015193370165745856,0.029931972789115645
1081566_DF_080_080BDF0070_00437,91,193474,1025,1249,0.9883884211010064,0.038477801268498944,0.0741042345276873
1081568_DF_080_080BDF0070_00441,69,193351,337,2082,0.9876480169935509,0.027733118971061094,0.05396949550254204
1081576_DF_080_080BDF0070_00455,3,194459,435,942,0.9929687140967836,0.002173913043478261,0.004338394793926247
1081577_DF_080_080BDF0070_00457,153,192991,1325,1370,0.9862386960717733,0.05372191011235955,0.10196601132955681
1081579_DF_080_080BDF0070_00460,13,194791,446,589,0.9947150465433341,0.012404580152671756,0.024505183788878417
1081589_DF_080_080BDF0070_00478,0,195719,48,72,0.9993872517731401,0.0,0.0
1081591_DF_080_080BDF0070_00482,296,192993,777,1773,0.9869791001792289,0.10400562192550948,0.1884150222788033
1081595_DF_080_080BDF0070_00490,1,195505,120,213,0.998299623670464,0.0029940119760479044,0.005970149253731343
1081596_DF_080_080BDF0070_00491,81,194018,875,865,0.9911151507105326,0.044481054365733116,0.08517350157728706
1081597_DF_080_080BDF0070_00493,29,193084,1376,1350,0.9860804027798344,0.010526315789473684,0.020833333333333332
1081598_DF_080_080BDF0070_00496,30,194175,688,946,0.9916564116442588,0.018028846153846152,0.03541912632821724
1081599_DF_080_080BDF0070_00498,576,192374,1042,1847,0.9852480864383498,0.16623376623376623,0.28507795100222716
1081605_DF_080_080BDF0070_00508,15,194220,808,796,0.9918095987009737,0.00926497838171711,0.01835985312117503
1081606_DF_080_080BDF0070_00510,302,190239,3171,2127,0.972947165784139,0.05392857142857143,0.10233819044391732
1081659_DF_080_080BDF0070_00606,47,193142,531,2119,0.9864684766568457,0.017426770485724878,0.034256559766763846
1081660_DF_080_080BDF0070_00608,559,187438,1327,6515,0.9599569033747108,0.06653969765504107,0.12477678571428572
1081661_DF_080_080BDF0070_00610,880,185802,3748,5409,0.953242204055372,0.08767560027896781,0.16121645140606394
1081670_DF_080_080BDF0070_00627,0,195551,94,194,0.9985294042555365,0.0,0.0
1081672_DF_080_080BDF0070_00630,30,194732,375,702,0.9945005846639331,0.02710027100271003,0.052770448548812667
1081676_DF_080_080BDF0070_00638,440,190595,1123,3681,0.975469645984712,0.08390541571319603,0.15482054890921887
1081677_DF_080_080BDF0070_00640,640,186485,3453,5261,0.9555042662595296,0.06841992730382725,0.1280768461076646
1081678_DF_080_080BDF0070_00641,304,191742,1477,2316,0.9806320497960059,0.07420063461069075,0.13815042035900932
1081703_DF_080_080BDF0070_00686,415,186631,3321,5472,0.9551008736768468,0.04506950477845352,0.08625168866257923
1081728_DF_080_080BDF0070_00731,104,191396,2174,2165,0.9778440453637938,0.023407607472428538,0.04574444688805806
1081729_DF_080_080BDF0070_00733,266,191696,1536,2341,0.980203126037204,0.06420468259715183,0.12066228169652983
1081738_DF_080_080BDF0070_00749,0,195572,135,132,0.9986366351952369,0.0,0.0
1081739_DF_080_080BDF0070_00751,97,192624,769,2349,0.9840787585720924,0.030171073094867808,0.058574879227053143
1081740_DF_080_080BDF0070_00753,398,190494,1960,2987,0.9747394543477039,0.0744621141253508,0.13860351732543966
1081757_DF_080_080BDF0070_00783,20,194155,1069,595,0.9915032245875438,0.011876484560570071,0.023474178403755867
1081769_DF_080_080BDF0070_00808,0,195635,93,111,0.9989583280143383,0.0,0.0
1081770_DF_080_080BDF0070_00810,451,185781,3925,5682,0.9509443982046477,0.04483992841519189,0.08583119231135218
1081771_DF_080_080BDF0070_00811,568,186774,4356,4141,0.956612319303101,0.06265857694429124,0.11792795598463615
1081792_DF_080_080BDF0070_00850,53,193484,811,1491,0.9882454465147391,0.022505307855626325,0.04401993355481727
1081794_DF_080_080BDF0070_00855,66,193316,888,1569,0.9874539800550453,0.026159334126040427,0.05098493626882966
1081800_DF_080_080BDF0070_00867,651,187134,2864,5190,0.9588743815072586,0.07478460654796094,0.13916203505771696
1081803_DF_080_080BDF0070_00873,12,194641,384,802,0.9939440050245355,0.01001669449081803,0.019834710743801654
1081804_DF_080_080BDF0070_00875,253,192684,837,2065,0.98518170538044,0.08019017432646593,0.14847417840375587
1081805_DF_080_080BDF0070_00877,235,189073,2571,3960,0.9666511777531543,0.034732485959207804,0.06713326667618912
1081806_DF_080_080BDF0070_00878,605,185536,5033,4665,0.950479730799279,0.05872076094341454,0.11092775944261092
1081807_DF_080_080BDF0070_00880,181,189440,1939,4279,0.9682494293782138,0.028285669635880608,0.05501519756838906
1081808_DF_080_080BDF0070_00882,359,188568,3432,3480,0.9647057021328744,0.04937422637876496,0.09410222804718217
