sample_id,TP,TN,FP,FN,Accuracy,IoU,F1
1084517_DF_080_080BDF0090_01804,146,192787,1336,1570,0.9851612804395448,0.04783748361730013,0.09130706691682301
1084527_DF_080_080BDF0090_01823,63,194481,551,744,0.9933874253851378,0.04639175257731959,0.08866995073891626
1084529_DF_080_080BDF0090_01827,364,194001,620,854,0.9924734092800719,0.19804134929270947,0.33060853769300635
1084530_DF_080_080BDF0090_01828,336,193802,829,872,0.9913142938842621,0.16494845360824742,0.2831858407079646
1084546_DF_080_080BDF0090_01855,399,194241,461,738,0.9938776239666256,0.24968710888610762,0.39959939909864794
1084547_DF_080_080BDF0090_01856,1751,192388,374,1326,0.9913194001194859,0.5073891625615764,0.673202614379085
1085367_DF_080_080BDF0090_03485,616,186344,5399,3480,0.9546617374475973,0.06487625065824118,0.12184749282959154
1085368_DF_080_080BDF0090_03487,217,190993,2705,1924,0.9763632371488825,0.044779199339661575,0.08571992889591151
1085369_DF_080_080BDF0090_03488,496,188109,4447,2787,0.9630614943908006,0.06416558861578267,0.12059324094335035
1085370_DF_080_080BDF0090_03489,222,190978,2525,2114,0.9763121747966442,0.0456696153054927,0.0873499901632894
1085376_DF_080_080BDF0090_03501,197,191099,2266,2277,0.976802373378132,0.04156118143459916,0.07980554992910674
1085383_DF_080_080BDF0090_03514,572,191191,2029,2047,0.9791869852276615,0.12306368330464716,0.21915708812260537
1085386_DF_080_080BDF0090_03519,0,195619,93,127,0.998876628250757,0.0,0.0
1085393_DF_080_080BDF0090_03531,0,195505,183,151,0.9982945174352402,0.0,0.0
1085394_DF_080_080BDF0090_03533,285,191600,2403,1551,0.979809945924969,0.06723283793347487,0.1259946949602122
1085398_DF_080_080BDF0090_03541,88,191796,1911,2044,0.9798048396897452,0.021766015335147167,0.04260469619946744
1085399_DF_080_080BDF0090_03543,611,186782,4685,3761,0.9568727372995164,0.06746163188693828,0.1263963591228796
1085400_DF_080_080BDF0090_03545,880,185864,5312,3783,0.9535587906392496,0.08822055137844612,0.16213726393367112
1085404_DF_080_080BDF0090_03552,40,194427,779,593,0.9929942452729027,0.028328611898016998,0.05509641873278237
1085406_DF_080_080BDF0090_03556,9,195285,293,252,0.9972171018030117,0.016245487364620937,0.03197158081705151
1085407_DF_080_080BDF0090_03558,143,192306,1720,1670,0.9826898625912102,0.040475516558165864,0.07780195865070728
1085408_DF_080_080BDF0090_03560,301,189329,3495,2714,0.9682953854952282,0.046236559139784944,0.08838643371017471
1085409_DF_080_080BDF0090_03562,242,189900,3647,2050,0.9709097779298301,0.04074760060616266,0.07830448147548941
1085429_DF_080_080BDF0090_03601,301,191554,2059,1925,0.979656758868254,0.07024504084014002,0.13126907980811164
1085430_DF_080_080BDF0090_03602,110,193149,1254,1326,0.9868259131225139,0.040892193308550186,0.07857142857142857
1085449_DF_080_080BDF0090_03640,3,195187,255,394,0.9966860533397331,0.004601226993865031,0.00916030534351145
1085450_DF_080_080BDF0090_03642,79,190950,2076,2734,0.975439008573369,0.01615872366537124,0.03180354267310789
1085451_DF_080_080BDF0090_03644,234,188277,3215,4113,0.9625815082797604,0.030944194657498016,0.06003078501795793
1089713_DF_070_070BDF0050_04713,0,195386,226,227,0.9976868754436042,0.0,0.0
1089879_DF_070_070BDF0050_05037,10,193337,1063,1429,0.9872752618222111,0.003996802557953637,0.007961783439490446
1090135_DF_070_070BDF0050_05559,0,195685,36,118,0.9992136397755299,0.0,0.0
1090136_DF_070_070BDF0050_05561,177,193559,1312,791,0.9892615873242817,0.07763157894736843,0.14407814407814407
1090167_DF_070_070BDF0050_05616,0,195511,138,190,0.9983251548465831,0.0,0.0
1090172_DF_070_070BDF0050_05625,424,193163,1039,1213,0.9885007582759308,0.15844544095665172,0.2735483870967742
1090283_DF_070_070BDF0050_05829,15,194980,323,521,0.9956903374710859,0.017462165308498253,0.034324942791762014
1090284_DF_070_070BDF0050_05831,26,194150,588,1075,0.9915083308227677,0.015393724097098875,0.030320699708454812
1090285_DF_070_070BDF0050_05833,22,194460,577,780,0.9930708388012602,0.01595358955765047,0.03140613847251963
1090286_DF_070_070BDF0050_05835,18,194974,417,430,0.9956750187654144,0.020809248554913295,0.04077010192525481
1090287_DF_070_070BDF0050_05837,83,193748,950,1058,0.9897466796705457,0.03969392635102822,0.07635694572217111
1090288_DF_070_070BDF0050_05839,27,194148,623,1041,0.9915032245875438,0.01596688350088705,0.03143189755529686
1090300_DF_070_070BDF0050_05861,2,195228,177,432,0.9968903027486864,0.0032733224222585926,0.0065252854812398045
1090501_DF_070_070BDF0050_06235,13,195437,198,191,0.9980136744979294,0.03233830845771144,0.06265060240963856
1090502_DF_070_070BDF0050_06236,355,192989,1220,1275,0.9872599431165396,0.12456140350877193,0.22152886115444617
1090503_DF_070_070BDF0050_06238,74,194265,615,885,0.9923406471642523,0.04701397712833545,0.08980582524271845
1090617_DF_070_070BDF0050_06453,1407,186526,3531,4375,0.9596301043203856,0.1510791366906475,0.2625
1090732_DF_070_070BDF0050_06657,500,192841,1142,1356,0.9872446244108681,0.1667778519012675,0.2858776443682104
1090864_DF_070_070BDF0050_06899,251,193388,1233,967,0.98876628250757,0.10240718074255406,0.1857883049592894
1091094_DF_070_070BDF0050_07370,0,195579,260,0,0.9986723788418037,0.0,0.0
1091095_DF_070_070BDF0050_07372,84,194789,517,449,0.9950673767737784,0.08,0.14814814814814814
1091170_DF_070_070BDF0050_07510,0,195538,153,148,0.9984630231976266,0.0,0.0
1091171_DF_070_070BDF0050_07512,169,191706,2209,1755,0.9797588835727307,0.04089039438664408,0.07856810785681079
1091172_DF_070_070BDF0050_07513,832,189386,2980,2641,0.9712978518068414,0.1289322795598946,0.22841455044612216
1091607_DF_251_251BDF0490_00579,94,194843,249,653,0.9953941758281037,0.09437751004016064,0.1724770642201835
1091608_DF_251_251BDF0490_00581,31,194982,346,480,0.9957822497051149,0.03617269544924154,0.06981981981981981
1091611_DF_251_251BDF0490_00586,60,193159,420,2200,0.9866216637135606,0.022388059701492536,0.043795620437956206
1091612_DF_251_251BDF0490_00589,26,194116,607,1090,0.9913347188251574,0.015089959373186303,0.029731275014293884
1091613_DF_251_251BDF0490_00590,86,193360,1088,1305,0.9877807791093705,0.03469140782573618,0.06705653021442495
1091614_DF_251_251BDF0490_00592,81,192670,1126,1962,0.9842319456288073,0.02556011360050489,0.049846153846153846
1091615_DF_251_251BDF0490_00594,87,192858,790,2104,0.9852225552622307,0.029184837302918484,0.056714471968709254
1091616_DF_251_251BDF0490_00595,86,193655,845,1253,0.9892871185004009,0.039377289377289376,0.07577092511013216
1091617_DF_251_251BDF0490_00597,41,193771,1126,901,0.9896496612012929,0.019825918762088973,0.0388809862494073
1091618_DF_251_251BDF0490_00599,240,191313,1832,2454,0.9781146758306568,0.05302695536897923,0.10071338648762064
1091619_DF_251_251BDF0490_00601,358,189053,3482,2946,0.967177119981209,0.05275567344532862,0.10022396416573348
1091620_DF_251_251BDF0490_00603,250,190530,1949,3110,0.9741675560026348,0.04708984742889433,0.08994423457456377
1091621_DF_251_251BDF0490_00604,150,192770,1600,1319,0.985094899381635,0.04887585532746823,0.09319664492078285
